state,x,y
Gujarat,-227,23
Rajasthan,-185,128
Goa,-180,-138
Maharashtra,-166,-49
Uttar Pradesh,-62,126
Kerala,-132,-243
Tamil Nadu,-79,-230
Karnataka,-155,-157
Madhya Pradesh,-112,32
Bihar,57,92
Assam,191,119
Sikkim,118,133
Andhra Pradesh,-81,-112
Nagaland,245,120
Mizoram,209,55
Manipur,229,87
Jharkhand,44,44
Odisha,23,-27
West Bengal,110,42
Chhattisgarh,-19,-3
Jammu And Kashmir,-143,288
Himanchal Pradesh,-105,228
Uttarakhand,-71,182
Punjab,-148,204
Haryana,-131,167
Delhi,-108,150
Arunanchal Pradesh,219,158
Meghalaya,171,94
Tripura,189,52
